,0
0,2543617
1,24586
2,34831
3,204822
4,356377
5,104476
6,2535452
7,1173541
8,565285
9,2469933
10,176174
11,16431
12,1493040
13,2846769
14,1746994
15,2537538
16,897096
17,2848848
18,1028178
19,2533467
20,178268
21,28767
22,2535528
23,2470011
24,2539646
25,2848901
26,2410650
27,2521259
28,2541744
29,2543793
30,213180
31,28868
32,835786
33,2379981
34,16591
35,1401040
36,1192155
37,209120
38,2105568
39,213219
40,2535657
41,1022191
42,266486
43,39162
44,2543878
45,263
46,20745
47,47385
48,2380060
49,2533662
50,536865
51,180514
52,41269
53,237879
54,10565
55,2543943
56,61769
57,2381
58,2400593
59,2535762
60,14675
61,2539867
62,1970527
63,63842
64,2849124
65,2847077
66,1388913
67,370
68,1284476
69,360828
70,24958
71,6538
72,2544013
73,20879
74,2449
75,14738
76,2077079
77,16795
78,2435485
79,2533793
80,61858
81,356772
82,2535846
83,2537899
84,2402731
85,166317
86,2400686
87,1692079
88,1044915
89,2537914
90,364990
91,2564543
92,2847175
93,358857
94,10698
95,1839566
96,16855
97,2539998
98,104929
99,1917412
100,2535927
101,356856
102,532990
103,49664
104,1071616
105,174594
106,260621
107,55823
108,2847259
109,64033
110,37421
111,444975
112,827956
113,2486864
114,10833
115,236116
116,942680
117,1333853
118,51820
119,27245
120,2849389
121,109180
122,1673852
123,2540158
124,774782
125,47745
126,2847361
127,2536067
128,281220
129,205449
130,2413196
131,1028759
132,2386588
133,4766
134,109218
135,2380450
136,1114788
137,2847407
138,195249
139,10929
140,2435762
141,17080
142,2534082
143,2538183
144,602828
145,2540246
146,15075
147,197351
148,8942
149,6895
150,238324
151,240375
152,2845433
153,236285
154,193278
155,780
156,264976
157,1461010
158,252691
159,2542355
160,228121
161,2536219
162,2849565
163,6942
164,2540327
165,88874
166,2847534
167,2538287
168,2435899
169,1958718
170,45889
171,207682
172,1033031
173,271182
174,254799
175,23377
176,1641299
177,9048
178,269146
179,863
180,353119
181,244577
182,516962
183,607080
184,33658
185,2534266
186,2943
187,271237
188,1121157
189,2542471
190,1391497
191,224141
192,912
193,19346
194,29589
195,7061
196,2388887
197,2159514
198,103336
199,803764
200,345018
201,5051
202,41923
203,447431
204,238537
205,211918
206,2538448
207,25574
208,361447
209,35816
210,9194
211,568299
212,234476
213,2536433
214,359413
215,343029
216,2847737
217,257024
218,2540561
219,275475
220,2532371
221,2538523
222,103459
223,1158184
224,281641
225,29747
226,2849847
227,2534464
228,11329
229,2542661
230,451655
231,2407495
232,273488
233,1356881
234,2384977
235,2540628
236,609370
237,25693
238,107615
239,58464
240,7268
241,173161
242,2532463
243,1946735
244,212086
245,834678
246,2405498
247,1131650
248,1551497
249,29845
250,210069
251,2542745
252,519329
253,21670
254,238759
255,2845864
256,56490
257,1191086
258,1946812
259,1858751
260,2010316
261,2407629
262,384210
263,437476
264,120040
265,2536691
266,77044
267,2534644
268,54519
269,58617
270,2848000
271,259336
272,17675
273,2112780
274,232721
275,2536723
276,2387223
277,240922
278,1318171
279,2538787
280,2850084
281,2405667
282,1484074
283,64811
284,56621
285,343343
286,3377
287,372017
288,32051
289,1166646
290,2540857
291,177476
292,1140037
293,994643
294,3416
295,865626
296,273757
297,17769
298,1113456
299,2540919
300,58746
301,2420097
302,890242
303,357771
304,32142
305,2850191
306,3370385
307,42391
308,2846104
309,2409881
310,189857
311,28071
312,2848171
313,2383283
314,2534836
315,441781
316,226742
317,46518
318,3290550
319,384445
320,632269
321,2434510
322,9687
323,2092515
324,437733
325,183784
326,2532847
327,36340
328,5623
329,1736198
330,1719827
331,2539031
332,28191
333,2848290
334,3622
335,2543156
336,2385463
337,362043
338,2534978
339,2846274
340,26182
341,1517132
342,540256
343,267876
344,2532966
345,2848362
346,2530923
347,1883760
348,681589
349,2428540
350,706176
351,2846338
352,2541196
353,339598
354,362129
355,2539156
356,470676
357,142998
358,2543258
359,1756832
360,1461924
361,2848421
362,56998
363,1805992
364,1855144
365,2535088
366,2533042
367,3765
368,153271
369,1537722
370,247489
371,61128
372,353993
373,214731
374,1314519
375,1752
376,2535134
377,2471652
378,249590
379,339705
380,1740545
381,2541322
382,83740
383,1537831
384,464680
385,2848556
386,2533169
387,276274
388,2543412
389,1314625
390,28486
391,257869
392,298848
393,2541411
394,2850667
395,2533245
396,251775
397,10111
398,12161
399,2537343
400,2846592
401,2848645
402,1933
403,1884049
404,14235
405,978849
406,30634
407,1621933
408,34736
409,2846642
410,1140661
411,63421
412,352192
413,350146
414,1929155
415,436164
416,2543556
417,2428881
418,2535378
419,32728
420,239582
421,268254
422,65522
423,2848755
424,561140
425,4085
426,774137
427,567292
